Datetime,MEK_avg_kWh
0,14.28214611872146
1,14.318173515981732
2,14.255799086757989
3,14.140456621004564
4,14.285622710622707
5,14.730228310502278
6,15.889863013698628
7,18.863196347031963
8,22.339360730593604
9,25.48885844748858
10,26.87333333333333
11,27.528767123287665
12,27.735159817351594
13,27.596255707762552
14,27.174703196347032
15,26.325753424657535
16,25.005296803652964
17,23.486301369863007
18,21.84401826484018
19,19.766940639269404
20,18.011780821917807
21,16.3772602739726
22,15.361735159817348
23,14.531004566210044
