Datetime,"U06, U06A, U05B_avg_kWh"
0,113.6225570776256
1,112.34237442922377
2,111.3169863013699
3,110.43762557077629
4,111.00650183150185
5,112.63972602739727
6,118.58438356164386
7,127.88840182648404
8,141.68420091324205
9,156.4293150684932
10,169.1377168949772
11,177.67972602739727
12,181.3616438356165
13,182.53945205479454
14,181.43041095890413
15,178.11534246575343
16,170.00173515981737
17,160.2148858447489
18,150.02894977168953
19,140.7039269406393
20,132.4749771689498
21,125.0474885844749
22,120.04018264840185
23,116.20936073059364
