Datetime,D04_avg_kWh_per_m2
0,0.002923859324062349
1,0.002523856535924103
2,0.0022967077579101785
3,0.0021744098757546433
4,0.0021148940799232204
5,0.0021215619826366557
6,0.0022392340899749087
7,0.002459243544298234
8,0.0026659882196934633
9,0.0027424507988649724
10,0.002751110925235226
11,0.0027975165292241227
12,0.0029126328431701787
13,0.0030025291793453006
14,0.003057932865855485
15,0.003173049179801541
16,0.003493220388387655
17,0.003979898368136478
18,0.0045307035275440576
19,0.004902138459790185
20,0.004968314498614589
21,0.004668716370722688
22,0.004120086804037391
23,0.0034813602397122958
