Datetime,LIB_avg_kWh_per_m2
0,0.0031721661799950307
1,0.0030652800446466536
2,0.0030585021411075313
3,0.0031036854128123023
4,0.0032088203485780785
5,0.003956355584835659
6,0.005418137207553277
7,0.007665552977035208
8,0.009508729956269727
9,0.010872095759145835
10,0.01143052566315718
11,0.01181464539015875
12,0.011962537429135408
13,0.012057584936377694
14,0.011996352645817802
15,0.01168180343419283
16,0.01105014575382093
17,0.010146273928022132
18,0.008906800936853221
19,0.0077272145623381375
20,0.006600538764902513
21,0.005944270937819134
22,0.004857436994804709
23,0.003981510605644071
