Datetime,MEK_avg_kWh_per_m2
0,0.0032210523497342033
1,0.0032291776084758077
2,0.003215110303734323
3,0.0031890971179532168
4,0.0032218364254900105
5,0.003322108324425413
6,0.0035836407338066365
7,0.004254216587061786
8,0.005038195924806857
9,0.005748502130692057
10,0.0060607427454518106
11,0.006208562725143813
12,0.006255110468505096
13,0.00622378342529602
14,0.006128710689297932
15,0.005937247051118071
16,0.005639444475338964
17,0.005296865442007896
18,0.004926481340739779
19,0.004458038033213668
20,0.004062196847523186
21,0.0036935634357177717
22,0.0034645320613029655
23,0.003277177394273803
