Datetime,S01_avg_kWh_per_m2
0,0.0007167106752168959
1,0.0007084429240968741
2,0.0007402565414274583
3,0.0007819053376945689
4,0.0007465390764145919
5,0.0006762675926547887
6,0.0007997671250101159
7,0.0012648625744743481
8,0.0019359800471606267
9,0.0028007006919074182
10,0.00330339718448625
11,0.003668556192287218
12,0.0034868551369432368
13,0.00347695106008071
14,0.003743982196775918
15,0.004716183606082994
16,0.005614853703866376
17,0.0061976957088649195
18,0.006109902526659187
19,0.005639915324448943
20,0.004355175698323537
21,0.002659838882200045
22,0.0013187924260509912
23,0.0007573776760385035
