Datetime,LIB_avg_kWh
0,35.09050228310503
1,33.90812785388128
2,33.83315068493151
3,34.33296803652969
4,35.495970695970705
5,43.765205479452064
6,59.93543378995434
7,84.79634703196348
8,105.18557077625572
9,120.26712328767124
10,126.44447488584476
11,130.69360730593607
12,132.3295890410959
13,133.38100456621004
14,132.70365296803655
15,129.2241095890411
16,122.23671232876713
17,112.23808219178082
18,98.52703196347032
19,85.47844748858448
20,73.0151598173516
21,65.75552511415526
22,53.73296803652969
23,44.04347031963471
