Datetime,TEG_avg_kWh
0,2.53013698630137
1,2.4401826484018265
2,2.4036529680365297
3,2.415525114155251
4,2.4862637362637363
5,2.604566210045662
6,2.7141552511415523
7,2.804566210045662
8,2.8794520547945206
9,2.9114155251141556
10,2.893150684931507
11,2.8913242009132416
12,2.989041095890411
13,3.1251141552511417
14,3.2949771689497718
15,3.5077625570776254
16,3.7105022831050225
17,3.8484018264840185
18,3.782648401826484
19,3.5863013698630137
20,3.2840182648401828
21,3.031050228310502
22,2.840182648401827
23,2.682191780821918
