Datetime,Winter,Spring,Summer,Autumn
0,5.344814814814805,2.6510869565217225,2.275724637681138,4.974725274725251
1,5.185925925925916,2.5778985507246217,2.2731884057970815,5.032600732600708
2,4.942962962962953,2.5485507246376655,3.7239130434782397,4.512454212454188
3,4.737037037037028,2.5238095238095086,5.265579710144908,4.051449275362295
4,4.472962962962954,2.520512820512806,5.267391304347806,3.56300366300364
5,4.4503703703703605,2.5800724637681,3.713043478260847,3.6179487179486935
6,5.582962962962953,4.211956521739113,2.199275362318819,5.00476190476188
7,8.76888888888888,7.151086956521722,2.8684782608695407,8.096703296703271
8,13.66962962962962,10.662318840579692,4.457971014492729,12.36520146520144
9,19.422592592592583,14.076449275362302,7.483695652173888,18.55421245421243
10,21.98925925925925,15.706884057970997,10.630797101449252,21.87619047619045
11,23.25999999999999,17.924999999999983,11.967391304347801,24.791208791208767
12,22.195925925925916,17.560144927536214,11.134420289855049,23.19047619047617
13,22.40074074074073,18.783695652173893,9.323188405797078,23.37142857142855
14,23.654444444444437,19.088768115942013,11.451811594202876,25.349816849816825
15,28.641111111111098,25.12934782608694,16.149275362318814,30.236996336996313
16,33.46518518518518,29.99202898550723,21.167753623188382,34.587545787545764
17,36.91296296296295,34.90398550724636,23.181521739130414,36.570695970695944
18,36.277037037037026,34.66268115942027,22.38079710144925,36.38608058608056
19,33.427037037037024,32.30181159420288,19.802173913043454,34.20366300366298
20,26.67148148148147,24.971014492753604,12.8460144927536,28.007326007325982
21,17.14777777777777,14.756159420289837,6.753260869565193,17.859706959706934
22,9.694444444444434,6.532608695652157,2.3072463768115723,9.520879120879096
23,5.89074074074073,2.878623188405781,2.297101449275341,5.047985347985324
