,Atm pressure mm of mercury,Mean wind direction,Mean wind speed,Relative humidity (%),Unnamed: 9,air temperature,building_size_m2,cloud_cover_percentage,dayofweek,dayofyear,hour,hour_x_dayofweek,is_drifting,is_fog,is_freezing_precip,is_grains,is_mist,is_rain,is_shower,is_snow,temp_x_hour,visibility,weather phenomena,year
Atm pressure mm of mercury,1.0,,-0.2751365033061578,-0.35612096612583877,,0.08565953073221812,0.0020923000357145616,-0.433818804540261,0.02274005401216166,-0.18996125295025235,0.01071416441716142,0.02728444037116786,,,,,,,,,0.08736518378565755,0.19412776874342136,,
Mean wind direction,,,,,,,,,,,,,,,,,,,,,,,,
Mean wind speed,-0.2751365033061578,,1.0,-0.14882797782232576,,0.06497095775785229,0.008626406086360816,0.13553528756648991,0.017923403746549615,-0.1333592443889277,0.11884391084363453,0.07496499413576511,,,,,,,,,0.1081610582227684,-0.00877187564093117,,
Relative humidity (%),-0.35612096612583877,,-0.14882797782232576,1.0,,-0.42227311694471403,0.01795316187049956,0.5544257633035916,-0.0106636474648465,0.15092347682632878,-0.2119678793545006,-0.14057965536827557,,,,,,,,,-0.4709864392450307,-0.3693107249071412,,
Unnamed: 9,,,,,,,,,,,,,,,,,,,,,,,,
air temperature,0.08565953073221812,,0.06497095775785229,-0.42227311694471403,,1.0,-0.02993488365579251,-0.36919608409379817,-0.032566721173358605,0.1595977998024791,0.09938311763377602,0.03685221589067657,,,,,,,,,0.8455654755107411,0.2412838603881683,,
building_size_m2,0.0020923000357145616,,0.008626406086360816,0.01795316187049956,,-0.02993488365579251,1.0,0.020872320319881617,-0.0006622848341976222,-0.04607055728577108,-8.453402400491331e-06,-0.0004589515471639407,,,,,,,,,-0.023918947684884274,-0.015377274695807668,,
cloud_cover_percentage,-0.433818804540261,,0.13553528756648991,0.5544257633035916,,-0.36919608409379817,0.020872320319881617,1.0,0.005147088894991228,0.06880129438076374,0.0003723879056678537,0.00013758990760128737,,,,,,,,,-0.30997783547982916,-0.43956206438758577,,
dayofweek,0.02274005401216166,,0.017923403746549615,-0.0106636474648465,,-0.032566721173358605,-0.0006622848341976222,0.005147088894991228,1.0,0.012308868397910153,0.00038728678607501257,0.6778718613516546,,,,,,,,,-0.02686741877301294,0.017416462903295418,,
dayofyear,-0.18996125295025235,,-0.1333592443889277,0.15092347682632878,,0.1595977998024791,-0.04607055728577108,0.06880129438076374,0.012308868397910153,1.0,-0.00023231316482343083,0.008054393289800087,,,,,,,,,0.11529523787665466,0.028301020340714505,,
hour,0.01071416441716142,,0.11884391084363453,-0.2119678793545006,,0.09938311763377602,-8.453402400491331e-06,0.0003723879056678537,0.00038728678607501257,-0.00023231316482343083,1.0,0.6120313465819208,,,,,,,,,0.4011214459687306,0.04392500350597667,,
hour_x_dayofweek,0.02728444037116786,,0.07496499413576511,-0.14057965536827557,,0.03685221589067657,-0.0004589515471639407,0.00013758990760128737,0.6778718613516546,0.008054393289800087,0.6120313465819208,1.0,,,,,,,,,0.22054947744198583,0.02884621457810255,,
is_drifting,,,,,,,,,,,,,,,,,,,,,,,,
is_fog,,,,,,,,,,,,,,,,,,,,,,,,
is_freezing_precip,,,,,,,,,,,,,,,,,,,,,,,,
is_grains,,,,,,,,,,,,,,,,,,,,,,,,
is_mist,,,,,,,,,,,,,,,,,,,,,,,,
is_rain,,,,,,,,,,,,,,,,,,,,,,,,
is_shower,,,,,,,,,,,,,,,,,,,,,,,,
is_snow,,,,,,,,,,,,,,,,,,,,,,,,
temp_x_hour,0.08736518378565755,,0.1081610582227684,-0.4709864392450307,,0.8455654755107411,-0.023918947684884274,-0.30997783547982916,-0.02686741877301294,0.11529523787665466,0.4011214459687306,0.22054947744198583,,,,,,,,,1.0,0.21557251068521874,,
visibility,0.19412776874342136,,-0.00877187564093117,-0.3693107249071412,,0.2412838603881683,-0.015377274695807668,-0.43956206438758577,0.017416462903295418,0.028301020340714505,0.04392500350597667,0.02884621457810255,,,,,,,,,0.21557251068521874,1.0,,
weather phenomena,,,,,,,,,,,,,,,,,,,,,,,,
year,,,,,,,,,,,,,,,,,,,,,,,,
